id,size,width,model_name,prices,totalColorAvailable,sku,wishlistCount,purchaseCount,avgRating,totalNoOfRatings,qty
146012,Medium,134 mm,LA E13517,1700,2,lenskart-air-la-e13517-c2-eyeglasses,2904,81982,4.7,148,3328
216521,Medium,139 mm,LA E15417-W,1700,23,lenskart-air-la-e15417-w-c1-eyeglasses,0,7714,0,,210
217261,Medium,139 mm,LH E16985-W,1700,4,lenskart-hustlr-lh-e16985-w-c5-eyeglasses,0,5582,0,,1896
216712,Medium,139 mm,LA E15417-W,1700,31,lenskart-air-la-e15417-w-c3-eyeglasses,0,3887,0,,642
201315,Medium,134 mm,VC E13634,1700,2,vincent-chase-vc-e13634-c7-eyeglasses,0,10708,4.75,130,2285
211383,Medium,135 mm,LA E16153,1700,3,lenskart-air-la-e16153-c3-eyeglasses,0,2922,0,,3
147507,Medium,136 mm,VC E13037,1700,3,vincent-chase-vc-e13037-f-im-rect-way-ace-crl-ue-trt-c6-eyeg,8886,64344,4.5,486,9446
208951,Medium,139 mm,LA E15417-W,1700,19,lenskart-air-la-e15417-c15-eyeglasses,0,26146,4.6,297,11839
217202,Medium,139 mm,LH E16985-W,1700,4,lenskart-hustlr-lh-e16985-w-c2-eyeglasses,0,3703,5,1,1095
215389,Medium,137 mm,VC E16665,1700,0,vincent-chase-vc-e16665-c2-eyeglasses,0,1527,0,,362
217201,Medium,139 mm,LH E16985-W,1700,4,lenskart-hustlr-lh-e16985-w-c1-eyeglasses,0,4146,0,,671
217431,Medium,139 mm,LA E15417-W,1700,21,lenskart-air-la-e15417-w-c4-eyeglasses,0,2553,5,1,956
209750,Wide,138 mm,LA E15844,1700,3,lenskart-air-la-e15844-c4-eyeglasses,0,9442,4.65,3,947
137975,Medium,135 mm,LA E13069,1700,0,lenskart-air-la-e13033-c2-eyeglasses,10980,83837,4.6,599,1579
145567,Medium,135 mm,VC E13634,1700,2,vincent-chase-vc-e13634-ful-ram-ale-metl-stlbr-c1-eyeglasaas,3205,41289,4.75,130,2633
