id,lk_store_id,alt_store_name_catch,store_pickup_available,store_type_labels,address_full,city,state,pin_code
512,LKST416,Bittan Market,TRUE,COCO,"Shop No E5/1, Bittan Market, Arera Colony, Habib Gunj Chowk, In Front Of Habib Gunj Police Station, Bhopal, Madhya Pradesh, 462016",Bhopal,Madhya Pradesh,462016
768,LKST1583,Himayat Nagar,TRUE,COCO,"3-6-110/1,2,3 Shop No 1, Ground Floor, Anand Arcade, Himayath Nagar, Opposite Tata Motors, Hyderabad, Telangana, 500029",Hyderabad,Telangana,500029
1024,LKST925,NRI layout,TRUE,COCO,"No 06, Double Road, Nri Layout, Ramamurthy Nagar, Bengaluru, Karnataka, 560016",Bengaluru,Karnataka,560016
1280,ST487,Sheoraphuli,FALSE,FOFO,"178/1(149), G T Road, Opposite Disha Eye Hospital, Sheoraphuli, West Bengal, 712223",Sheoraphuli,West Bengal,712223
1536,LKST1603,Thammenahalli,TRUE,COCO,"No 196 Mei Layout, 60Ft Main Road, Dassarahalli, Bengaluru, Karnataka, 560057",Bengaluru,Karnataka,560057
2304,LKST1842,Jakhan,TRUE,COCO,"Plot No 125 & 126, Ground Floor, Mauza Jakhan, Kishanpur Pargana Central Doon, Rajpur Road, Dehradun, Uttrakhand, 248001",Dehradun,Uttarakhand,248001
1,ST384,HGB Road,FALSE,FOFO,"54, Hari Ganga Basak Road, Paradise Chowmuhani, Opposite Pwd Office, Agartala, Tripura, 799001",Agartala,Tripura,799001
257,LKST103,Kengeri Satellite,TRUE,COCO,"Shop No 1443, First Main Road, Kengeri Satellite Town, Hoysala Circle, Bengaluru, Karnataka, 560060",Bengaluru,Karnataka,560060
513,LKST365,93 Avenue Mall Pune,TRUE,COCO,"Shop No 2, Ground Floor, 93 Avenue Mall, Fatima Nagar, Kalubai Chowk, Pune, Maharashtra, 411022",Pune,Maharashtra,411022
769,LKST634,Mudichur,TRUE,COCO,"No 20, Rathana Complex, Sri Ram Nagar, Mudichur Road, Tambaram West, Mudichur, Next To More Supre Market, Chennai, Tamil Nadu, 600045",Chennai,Tamil Nadu,600045
1025,LKST1023,Neredmet,TRUE,COCO,"H No 37 74/11/1, Plot No E-62, Survey No 218/1/3, Jj Nagar Ramakrishnapuram, Malkajgiri Municipality And Mandal Ranga Reddy, Neredmet, Hyderabad, Telangana, 500094",Hyderabad,Telangana,500094
1281,LKST916,Adityapur,TRUE,COCO,"Site No 1, Aditypur Colony, Tata Kandra Road, Adityapur, Jamshedpur, Jharkhand, 831013",Jamshedpur,Jharkhand,831013
1537,LKST1598,Khagaul Road,TRUE,COCO,"Ground Floor, Khagaul Road, Anisabad, Opposite Mausam Vibhag, Patna, Bihar, 800002",Patna,Bihar,800002
1793,LKST1781,Chhatarpur,TRUE,COCO,"Property Bearing No 14, Ground Floor, khasra No 619/10 & Old No 619/21, Situated in Extended Abadi of Lal Dora of Village Chhatarpur, Tehsil Hauz Khas, Mehrauli, New Delhi, 110074",New Delhi,Delhi,110074
2305,LKST2164,Karve Nagar,TRUE,COCO,"Sr No 6/1, Hirgare, Part Shop of Banking Hall, Shalini Residency, Vitthal Mandir Road, Dnydeep Colony, Hingne Budrukh, Karve Nagar, Pune, Maharashtra, 411052",Pune,Maharashtra,411052
2,ST07,New CG Road,FALSE,FOFO,"Shop No G 44, Sarjan Bunglows 2, New CG Road, Chandkheda, Sarjan Complex, Ahmedabad, Gujarat, 382424",Ahmedabad,Gujarat,382424
258,LKST104,Kumaraswamy Layout,TRUE,COCO,"Shop No 1319, 50 Feet Main Rd, Kumaraswamy Layout, Sri Lakshmi Venkateshwara Arcade, Bengaluru, Karnataka, 560078",Bengaluru,Karnataka,560078
514,ST312,Junagadh,FALSE,FOFO,"Shop No G2, Ground Floor, Peri Plaza Complex, Sardar Bagh, Near Alkapuri Society, Junagadh, Gujarat, 362001",Junagadh,Gujarat,362001
770,LKST656,Trichy Cantt,TRUE,COCO,"No 8, Bharathiar Salai, Melapudur, Cantonment, Tiruchirapalli, Tamil Nadu, 620001",Tiruchirappalli,Tamil Nadu,620001
1026,LKST938,Vikrampuri,TRUE,COCO,"Plot No 6 S, Nos 60 6162/1, New Vasavi Colony, Second Venture Kakaguda, Village Secunderabad Cantonment Area, Vikrampuri, Hyderabad, Telangana, 500015",Hyderabad,Telangana,500015
1282,LKST1207,Rushabh Char Rasta Adajan Patiya,TRUE,COCO,"Shop No G/13, Sangini Magnus, Rushabh Char Rasta, Rander Road, Adajan Patiya, Opposite Rushabh Tower, Surat, Gujarat, 395009",Surat,Gujarat,395009
1538,ST573,Ramgarh,TRUE,FOFO,"Plot No 172, Gram Thana Chawk, Ramghar Cantt Area, Near Gandhi Chawk, Ramgarh, Jharkhand, 829122",Ramgarh,Jharkhand,829122
2306,LKST2258,Simpoli Borivali West,TRUE,COCO,"Shop No 2, Deep Jyot, CHSL, Shimpoli Road, Rayani Gram, Borivali West, Mumbai, Maharashtra, 400092",Mumbai,Maharashtra,400092
3,ST10,Flagship Store Empire Mall,FALSE,FOFO,"UG6 & UG8, Empire Mall, MG Road, SDM Law College, Mangaluru, Karnataka, 575003",Mangalore,Karnataka,575003
259,LKST105,Uttarahalli Main Road,TRUE,COCO,"Shop No 9/3, Site Number 46, Uttarahalli Main Road, Next To IDFC Bank, Bengaluru, Karnataka, 560061",Bengaluru,Karnataka,560061
515,LKST422,Harmu Ranchi,TRUE,COCO,"Ground Floor, Girdhar Plaza, Harmu Road, Girdhar Plaza, Ranchi, Jharkhand, 834001",Ranchi,Jharkhand,834001
1027,LKST867,Nalasopara West,TRUE,COCO,"Shop No 14, Aster Apartment, Nalasopara West, Near Shri Prashtha, Mumbai, Maharashtra, 401203",Mumbai,Maharashtra,401203
1283,ST488,Satara,FALSE,FOFO,"Shop No 2, Rajpath, Rajeshpura Road, Sadshiv Peth, Rajpath, Satara, Maharashtra, 415002",Satara,Maharashtra,415002
1539,ST545,Gauri Pada,TRUE,FOFO,"Shop No 3 & 4, Hari Om Apt, Dhamankar Naka, Gauri Pada, Opposite Bsnl Office, Bhiwandi, Maharashtra, 421302",Bhiwandi,Maharashtra,421302
1795,LKST1617,Keshwapur,TRUE,COCO,"Vivanata Building, CTS No 439/1A-15, Ward No 30, Subhas Nagar, Kusugal Road, Keshwapur, Hubballi, Karnataka, 580023",Hubballi,Karnataka,580023
2307,LKST2323,Bardhaman,TRUE,COCO,"Ground Floor, Plot No UCP 028, Bengal Ambuja Housing Complex, City Centre, Bardhaman, Durgapur, West Bengal ,713216",Durgapur,West Bengal,713216
4,ST12,Rajarampuri,FALSE,FOFO,"Shop No 1, Ground Floor, 1754 E, Ward Sripati Apartment, Rajarampuri 4Th Lane, Kolhapur, Maharashtra, 416003",Kolhapur,Maharashtra,416003
260,LKST106,Flagship Store at Nagarbhavi,TRUE,COCO,"Shop No 1441/1309, Rajanna Complex, Jnanabharathi Main Road, Jyothi Nagar, Nagarbhavi Circle, Bengaluru, Karnataka, 560072",Bengaluru,Karnataka,560072
516,LKST414,Flagship Store Koramangala,TRUE,COCO,"Shop No 116, Ground Floor, Khb Colony, 7Th Block, 80 Feet Road, 80 Ft Road, Koramangala, Opposite Hangover Brewery, Bengaluru, Karnataka, 560034",Bengaluru,Karnataka,560034
772,ST379,Vizianagaram,FALSE,FOFO,"20-20-103, Plot No103, Madhuvan Towers, Krishnarajapuram, Near Spencers, Vizianagaram, Andhra Pradesh, 535002",Vizianagaram,Andhra Pradesh,535002
1028,LKST865,Kamothe,TRUE,COCO,"Shop No 10, Uma Shiv Corner, Plot No 22 & 22A, Sector 19, Kamothe, Navi Mumbai, Maharashtra, 410206",Navi Mumbai,Maharashtra,410206
1284,LKST1193,Nungambakkam,TRUE,COCO,"Door No 125/1, Rose Wood Office, Nungambakkam High Road, Nungambakkam, Opposite Teresa Church, Chennai, Tamil Nadu, 600034",Chennai,Tamil Nadu,600034
1540,LKST1458,Sector 133,TRUE,COCO,"Shop No 3 & 4, Ground Floor, Paras One 33, Sector 133, Noida, Uttar Pradesh, 201304",Noida,Uttar Pradesh,201304
2308,LKST2176,Mansa,TRUE,COCo,"Ground Floor, Shop No 76, Cancelled Colony, Village Mansa, Tehsil, Mansa, Punjab, 151505",Mansa,Punjab,151505
261,LKST107,Jawahar Nagar,TRUE,COCO,"Plot No B95, Old Door 37, New Door 22, First Main Road, Jawahar Nagar, Near Max Showroom, Chennai, Tamil Nadu, 600082",Chennai,Tamil Nadu,600082
517,LKST427,Qaiserbagh Lucknow,TRUE,COCO,"Shop No 5, Tandon Building, Kaiser Bagh, Kaiser Bagh Crossing, Lucknow, Uttar Pradesh, 226001",Lucknow,Uttar Pradesh,226001
