model_name,sku,wishlistCount,qty,wishlist/stock
LA E13517,lenskart-air-la-e13517-c2-eyeglasses,2904,3328,0.8725961538461539
LA E15417-W,lenskart-air-la-e15417-w-c1-eyeglasses,0,210,0.0
LH E16985-W,lenskart-hustlr-lh-e16985-w-c5-eyeglasses,0,1896,0.0
LA E15417-W,lenskart-air-la-e15417-w-c3-eyeglasses,0,642,0.0
VC E13634,vincent-chase-vc-e13634-c7-eyeglasses,0,2285,0.0
LA E16153,lenskart-air-la-e16153-c3-eyeglasses,0,3,0.0
VC E13037,vincent-chase-vc-e13037-f-im-rect-way-ace-crl-ue-trt-c6-eyeg,8886,9446,0.940715646834639
LA E15417-W,lenskart-air-la-e15417-c15-eyeglasses,0,11839,0.0
LH E16985-W,lenskart-hustlr-lh-e16985-w-c2-eyeglasses,0,1095,0.0
VC E16665,vincent-chase-vc-e16665-c2-eyeglasses,0,362,0.0
LH E16985-W,lenskart-hustlr-lh-e16985-w-c1-eyeglasses,0,671,0.0
LA E15417-W,lenskart-air-la-e15417-w-c4-eyeglasses,0,956,0.0
LA E15844,lenskart-air-la-e15844-c4-eyeglasses,0,947,0.0
LA E13069,lenskart-air-la-e13033-c2-eyeglasses,10980,1579,6.953768207726409
VC E13634,vincent-chase-vc-e13634-ful-ram-ale-metl-stlbr-c1-eyeglasaas,3205,2633,1.2172426889479682
LA E15417-W,lenskart-hustlr-la-e15417-c7-eyeglasses,0,14003,0.0
LA E11821,lenskart-air-la-e11821-fall-rim-wfe-stais-stel-c1-eyeglasses,25348,6886,3.6810920708684285
LA E15417-W,lenskart-air-la-e15417-c20-eyeglasses,0,9288,0.0
LS E15666,vincent-chase-ls-e15666-c6-eyeglasses,0,52,0.0
VC E15347,vincent-chase-vc-e15347-c1-eyeglasses,0,2410,0.0
VC E15838,vincent-chase-vc-e15838-c1-eyeglasses,0,1567,0.0
LA E15417-W,lenskart-air-la-e15417-c2-eyeglasses,0,939,0.0
LA E16240,lenskart-air-la-e16240-c1-eyeglasses,0,344,0.0
LA E16169,lenskart-air-la-e16169-c1-eyeglasses,0,834,0.0
VC E16233,vincent-chase-vc-e16233-c1-eyeglasses,0,1138,0.0
LA E15417-W,lenskart-air-la-e15417-c10-eyeglasses,0,13400,0.0
LA E15851,lenskart-air-la-e15851-c1-eyeglasses,0,6,0.0
VC E16198,vincent-chase-vc-e16198-c1-eyeglasses,0,724,0.0
LA E15417-W,lenskart-air-la-e15417-c6-eyeglasses,0,1858,0.0
VC E15380,vincent-chase-vc-e15380-c2-eyeglasses,0,33,0.0
VC E15348,vincent-chase-vc-e15348-c2-eyeglasses,0,1408,0.0
LA E15303,lenskart-air-la-e15303-c2-eyeglasses,0,975,0.0
LA E13068,lenskart-air-la-e13068-c5-eyeglasses,0,521,0.0
LA E14368,lenskart-air-la-e14368-c1-eyeglasses,3337,2795,1.19391771019678
VC E13784,vincent-chase-vc-e13784-c1-eyeglasses,14578,4142,3.5195557701593434
VC E13785,vincent-chase-vc-e13785-c1-eyeglasses,11799,2467,4.782732063234698
VC E13451-M,vincent-chase-vc-e13451-m-c1-eyeglasses,0,2728,0.0
LA E16727,lenskart-air-la-e16727-c2-eyeglasses,0,755,0.0
JJ E10235,john-jacobs-jj-e10235-c7-eyeglasses,16093,3662,4.394593118514473
VC E14974,vincent-chase-vc-e14974-c2-eyeglasses,0,621,0.0
